"yes let s all save and not spend to boost the economy" "{'save': True, 'spend': True, 'boost': True, 'economy': True}" 0.749975070758371 0.2500249292416294 positive
"Your saying trump created covid This is why I am voting republican as a democrat Your following the media like a sheep instead of stepping back and looking at the real Imagine how bad we would be right now if this happened during the Obama economy Could be much worse" "{'trump': True, 'create': True, 'covid': True, 'vote': True, 'republican': True, 'democrat': True, 'follow': True, 'medium': True, 'sheep': True, 'step': True, 'back': True, 'real': True, 'imagine': True, 'bad': True, 'happen': True, 'obama': True, 'economy': True}" 0.348092936724889 0.6519070632751116 negative
"You are missing the point It would not have opened The science has changed more than his cabinet The numbers from the media are being spun negatively With your mentality we would shut the economy down every flu season" "{'miss': True, 'point': True, 'open': True, 'science': True, 'change': True, 'cabinet': True, 'number': True, 'medium': True, 'spin': True, 'negatively': True, 'mentality': True, 'shut': True, 'economy': True, 'flu': True, 'season': True}" 0.49790168764420745 0.5020983123557936 neutral
"Fascist It chooses the winners on the market and controls the economy When it wants to it exerts so much control that it looks like the government is the owner of the business This is fascism" "{'fascist': True, 'choose': True, 'winner': True, 'market': True, 'control': True, 'economy': True, 'exert': True, 'government': True, 'owner': True, 'business': True, 'fascism': True}" 0.7484109851966053 0.2515890148033964 positive
"So let s risk killing them Some Christian worried more about the economy than children s lives" "{'risk': True, 'kill': True, 'christian': True, 'worry': True, 'economy': True, 'child': True, 'life': True}" 0.0137170829700722 0.9862829170299282 negative
"Hasn t the economy already been destroyed by us selling off our assets for dirt cheap to foreign interests Subsidies for fossil fuels Corporations just ignoring taxes 30bn per year in dividends flowing from our economic activity to the foreign banks that own our big 4" "{'hasn': True, 'economy': True, 'destroy': True, 'sell': True, 'asset': True, 'dirt': True, 'cheap': True, 'foreign': True, 'interest': True, 'subsidy': True, 'fossil': True, 'fuel': True, 'corporation': True, 'ignore': True, 'tax': True, '30bn': True, 'year': True, 'dividend': True, 'flow': True, 'economic': True, 'activity': True, 'bank': True, 'big': True, '4': True}" 0.5342158637272594 0.46578413627274373 neutral
"So StuntMo shut the economy down for no reason then" "{'stuntmo': True, 'shut': True, 'economy': True, 'reason': True}" 0.749975070758371 0.2500249292416294 positive
"Warren Buffett can t even answer SIMPLE questions about the economy from people like Becky Quick without chuckling about it first That s how u know the entire game is a scam How is THAT guy your winner He s a 21st century oracle of shit" "{'warren': True, 'buffett': True, 'answer': True, 'simple': True, 'question': True, 'economy': True, 'people': True, 'becky': True, 'quick': True, 'chuckle': True, 'entire': True, 'game': True, 'scam': True, 'guy': True, 'winner': True, '21st': True, 'century': True, 'oracle': True, 'shit': True}" 0.6409131755835503 0.35908682441645073 neutral
"I think that the economy in every latino country is WAY more important that a fucking button" "{'economy': True, 'latino': True, 'country': True, 'important': True, 'fucking': True, 'button': True}" 0.749975070758371 0.2500249292416294 positive
"Man seems like you want a new job That s rough in this economy but hey you do you" "{'man': True, 'job': True, 'rough': True, 'economy': True, 'hey': True}" 0.24997507241550607 0.7500249275844936 negative
"Records deaths and infections by COVIDIOTS in red states that refused to listen to CDC warning and listened to the IdiotInChief that now demands He will use children IN SCHOOLS to bring back the economy BUT GOP AND TRUMP REFUSE A cent FOR STATES OR SCHOOLS OR PEOPLE" "{'record': True, 'death': True, 'infection': True, 'covidiots': True, 'red': True, 'state': True, 'refuse': True, 'listen': True, 'cdc': True, 'warning': True, 'idiotinchief': True, 'demand': True, 'child': True, 'school': True, 'bring': True, 'back': True, 'economy': True, 'gop': True, 'trump': True, 'cent': True, 'people': True}" 0.21590648784815025 0.7840935121518516 negative
"Theres this great series on youtube in which one episode is about the economy of Aro Valley which is a hipster paying 200 that she cant afford to buy a clay pot made by another hipster and then goes hungry" "{'great': True, 'series': True, 'youtube': True, 'episode': True, 'economy': True, 'aro': True, 'valley': True, 'hipster': True, 'pay': True, '200': True, 'afford': True, 'buy': True, 'clay': True, 'pot': True, 'make': True, 'hungry': True}" 0.9796709659296943 0.020329034070303013 positive
"I hear you Unfortunately it s an Australian mentality" "{'hear': True, 'australian': True, 'mentality': True}" 0.30170952246397287 0.6982904775360271 negative
"ErikSTownsend If CBs can t control money supply through bank reserve QE why not instead channel new money into economy through direct gov purchases National investment in public owned capital Targeted at green tech maybe Combat recession inequality and climate change in one" "{'erikstownsend': True, 'cbs': True, 'control': True, 'money': True, 'supply': True, 'bank': True, 'reserve': True, 'qe': True, 'channel': True, 'economy': True, 'direct': True, 'gov': True, 'purchase': True, 'national': True, 'investment': True, 'public': True, 'capital': True, 'target': True, 'green': True, 'tech': True, 'combat': True, 'recession': True, 'inequality': True, 'climate': True, 'change': True}" 0.13364061012530412 0.8663593898746949 negative
"AOC blames economy for NYC crime wave not NYPD cuts via nypmetro" "{'aoc': True, 'blame': True, 'economy': True, 'nyc': True, 'crime': True, 'wave': True, 'nypd': True, 'cut': True, 'nypmetro': True}" 0.20451347942901202 0.7954865205709875 negative
"Refusing to tell FL s 21M to hole up in their houses His rationale saving the economy would save lives Dumbest shit I have heard in a long time Dem St Sen By Apr Fools Day St recorded 7K cases 100 CV related deaths Ordered Floridians to stay put Unless to go to church" "{'refuse': True, 'fl': True, '21m': True, 'hole': True, 'house': True, 'rationale': True, 'save': True, 'economy': True, 'life': True, 'dumb': True, 'shit': True, 'hear': True, 'long': True, 'time': True, 'dem': True, 'st': True, 'sen': True, 'apr': True, 'fool': True, 'day': True, 'record': True, '7k': True, 'case': True, '100': True, 'cv': True, 'relate': True, 'death': True, 'order': True, 'floridian': True, 'stay': True, 'put': True, 'church': True}" 0.016578119337965998 0.9834218806620352 negative
"H e will get credit for destroying President Obama s economy" "{'credit': True, 'destroy': True, 'president': True, 'obama': True, 'economy': True}" 0.24997507241550607 0.7500249275844936 negative
"I assume at this point it s all a gig economy thing Like they re all on an app called Goondr and take henchmen gigs as they come up" "{'assume': True, 'point': True, 'gig': True, 'economy': True, 'thing': True, 'app': True, 'call': True, 'goondr': True, 'henchman': True}" 0.30170952246397287 0.6982904775360271 negative
"The so called experts took a sledge hammer approach and deeply damaged our society and economy Fauci et al has a lot to apologize for" "{'called': True, 'expert': True, 'sledge': True, 'hammer': True, 'approach': True, 'deeply': True, 'damage': True, 'society': True, 'economy': True, 'fauci': True, 'al': True, 'lot': True, 'apologize': True}" 0.09998803499804988 0.9000119650019506 negative
"Coronavirus sufferers still have weird symptoms 100 days after surviving bug With a herd immunity strategy it will mean a lot of workers unable to work for many months or years How is this good for the economy" "{'coronavirus': True, 'sufferer': True, 'weird': True, 'symptom': True, '100': True, 'day': True, 'survive': True, 'bug': True, 'herd': True, 'immunity': True, 'strategy': True, 'lot': True, 'worker': True, 'unable': True, 'work': True, 'month': True, 'year': True, 'good': True, 'economy': True}" 0.7413651861119385 0.2586348138880633 positive
"Youre a perfect example of why Trump said he loves the uneducated His early inactions were responsible for killing ppl Biden has nothing to do with it The best economy EVER Thanks Obama Trump inherited a great economy Trump just gave tax cuts to the rich added to deficit" "{'youre': True, 'perfect': True, 'trump': True, 'love': True, 'uneducated': True, 'early': True, 'inaction': True, 'responsible': True, 'kill': True, 'ppl': True, 'biden': True, 'economy': True, 'obama': True, 'inherit': True, 'great': True, 'give': True, 'tax': True, 'cut': True, 'rich': True, 'add': True, 'deficit': True}" 0.9999470889908317 5.2911009170202516e-05 positive
"I m having a hard time because like 20 people I went to high school with shared this meme and idk how to explain to them that I having a bigger problem with the fact that reopening too early is killing HUMAN BEINGS than I do about killing the economy please help" "{'hard': True, 'time': True, '20': True, 'people': True, 'high': True, 'school': True, 'share': True, 'meme': True, 'idk': True, 'explain': True, 'big': True, 'problem': True, 'fact': True, 'reopen': True, 'early': True, 'kill': True, 'human': True, 'economy': True}" 0.13861684108086667 0.861383158919135 negative
"Hey Gov see the replies to this tweet No one wants to come to Florida now What s the state s biggest industry You re killing our economy by letting Covid get this bad" "{'hey': True, 'gov': True, 'reply': True, 'tweet': True, 'florida': True, 'state': True, 'big': True, 'industry': True, 'kill': True, 'economy': True, 'covid': True, 'bad': True}" 0.015922991735609387 0.984077008264391 negative
"This is a reminder of how the really economy is doing The stock market does not reflect the majority of Americans We are in trouble Please vote this November" "{'reminder': True, 'economy': True, 'stock': True, 'market': True, 'reflect': True, 'majority': True, 'american': True, 'trouble': True, 'vote': True, 'november': True}" 0.09998803499804988 0.9000119650019506 negative
"Trump has his own agenda and it has nothing to do with saving and bettering the USA He is only interested in the economy and not the health of the people" "{'trump': True, 'agenda': True, 'saving': True, 'usa': True, 'interested': True, 'economy': True, 'health': True, 'people': True}" 0.9541798899621339 0.04582011003786514 positive
"It is a leadership issue It has to be a united front politicians community leaders churches etc We all want good health robust economy I think the way to not get there is clear now" "{'leadership': True, 'issue': True, 'united': True, 'front': True, 'politician': True, 'community': True, 'leader': True, 'church': True, 'good': True, 'health': True, 'robust': True, 'economy': True, 'clear': True}" 0.9936357633081186 0.006364236691882794 positive
"Alcohol is a toxic drug Poison Consumption of it cannot be justification for balamcing economy" "{'alcohol': True, 'toxic': True, 'drug': True, 'poison': True, 'consumption': True, 'justification': True, 'balamcing': True, 'economy': True}" 0.20451347942901202 0.7954865205709875 negative
"Dr Fanci isn t a political appointee he s a career civil servant The Dr s expertise knowledge has benefited us with honest assessment of the virus POTUS the self appointed genuis who feels it s more important to take risks open the economy for political gain at our expense" "{'dr': True, 'fanci': True, 'isn': True, 'political': True, 'appointee': True, 'career': True, 'civil': True, 'servant': True, 'expertise': True, 'knowledge': True, 'benefit': True, 'honest': True, 'assessment': True, 'virus': True, 'potus': True, 'appoint': True, 'genuis': True, 'feel': True, 'important': True, 'risk': True, 'open': True, 'economy': True, 'gain': True, 'expense': True}" 0.9994421661892037 0.0005578338107946489 positive
"Created the best economy ever right before Cornovirus Lowest unemployment ever for blacks and latinos" "{'create': True, 'economy': True, 'cornovirus': True, 'low': True, 'unemployment': True, 'black': True, 'latino': True}" 0.30170952246397287 0.6982904775360271 negative
"So whether you re Speer trying to evoke the power of the Völkisch or a WPA architect trying to project confidence in the federal government s attempts to rescue the economy and remake a New Deal for America this architecture was for you" "{'speer': True, 'evoke': True, 'power': True, 'völkisch': True, 'wpa': True, 'architect': True, 'project': True, 'confidence': True, 'federal': True, 'government': True, 'attempt': True, 'rescue': True, 'economy': True, 'remake': True, 'deal': True, 'america': True, 'architecture': True}" 0.749975070758371 0.2500249292416294 positive
"was listening to a political radio station and they were talking to a bunch of people and basically all of them were saying stuff along the lines of the china virus is causing the economy to go crazy is my money and my retirement safe like children are about to be forced" "{'listen': True, 'political': True, 'radio': True, 'station': True, 'talk': True, 'bunch': True, 'people': True, 'basically': True, 'stuff': True, 'line': True, 'china': True, 'virus': True, 'economy': True, 'crazy': True, 'money': True, 'retirement': True, 'safe': True, 'child': True, 'force': True}" 0.5171193463097602 0.48288065369023847 neutral
"The bigger questions are Why has this gone on so long as to become an entrenched segment of the economy a black economy How has USG leadership missed this while dumping Ts into wars development projects overseas 20 more questions I ll spare you" "{'big': True, 'question': True, 'long': True, 'entrenched': True, 'segment': True, 'economy': True, 'black': True, 'usg': True, 'leadership': True, 'miss': True, 'dump': True, 'war': True, 'development': True, 'project': True, 'overseas': True, '20': True, 'll': True, 'spare': True}" 0.04509175961068151 0.9549082403893191 negative
"YES we are but are we doing about it besides constantly taking about it We ALL need to STOP wearing masks just deal with it no one s sick people STOP thinking everything is COVIDー19 Our economy MentalHealthMatters hatred between human being is stronger than ever Sad" "{'constantly': True, 'stop': True, 'wear': True, 'mask': True, 'deal': True, 'sick': True, 'people': True, 'covidー': True, '19': True, 'economy': True, 'mentalhealthmatters': True, 'hatred': True, 'human': True, 'strong': True, 'sad': True}" 0.8050823328681251 0.19491766713187586 positive
"Ya racism misogyny corruption lying spewing hatred What is the part they support And if anyone says the fucking economy RUN THIS TRUMP ECONOMY HAS BEEN FUNDED BY CREDIT And anyone who d over look all of his immoral behavior for money" "{'ya': True, 'racism': True, 'misogyny': True, 'corruption': True, 'lie': True, 'spew': True, 'hatred': True, 'part': True, 'support': True, 'fuck': True, 'economy': True, 'run': True, 'trump': True, 'fund': True, 'credit': True, 'immoral': True, 'behavior': True, 'money': True}" 0.2834372357992642 0.7165627642007344 negative
"China Unlikely To Meet Phase One Demand For U S Oil Gas forbes us oil crude brent gas soybeans trump facts navarro gop economy mkt" "{'china': True, 'meet': True, 'phase': True, 'demand': True, 'oil': True, 'gas': True, 'forbes': True, 'crude': True, 'brent': True, 'soybean': True, 'trump': True, 'fact': True, 'navarro': True, 'gop': True, 'economy': True, 'mkt': True}" 0.6982344538873567 0.3017655461126443 positive
"the cryptomorons in the replies of every tweet about the economy No one cares about your fake money Remember when the value went up Who got rich No one cause it isn t real lmao" "{'cryptomorons': True, 'reply': True, 'tweet': True, 'economy': True, 'care': True, 'fake': True, 'money': True, 'remember': True, 'rich': True, 'isn': True, 'real': True, 'lmao': True}" 0.6982344538873567 0.3017655461126443 positive
"I think about this all the time when people try to defend trump and says hEs GoInG tO hElP oUr EcOnOmY like bitch I want a president that cares about us as human beings I can gaf about money at this point" "{'time': True, 'people': True, 'defend': True, 'trump': True, 'economy': True, 'bitch': True, 'president': True, 'care': True, 'human': True, 'gaf': True, 'money': True, 'point': True}" 0.6982344538873567 0.3017655461126443 positive
"forward this to your followers Then we will see if the claim the mask will take care of the increasing numbers and they will have no excuse to keep our children out of school and allow us to return to work The economy should return and hold steady and DJT will be re elected" "{'forward': True, 'follower': True, 'claim': True, 'mask': True, 'care': True, 'increase': True, 'number': True, 'excuse': True, 'child': True, 'school': True, 'return': True, 'work': True, 'economy': True, 'hold': True, 'steady': True, 'djt': True, 'elect': True}" 0.9574268928725194 0.04257310712748012 positive
"JohnCornyn if you DON T KNOW WHY RISK IT What in the actual hell is wrong with people You re talking about children the economy TRUMPS CHILDREN If our government can give tons of ppp to the likes of TomBrady PressSec parents kanyewest why can t we keep our kids safe" "{'johncornyn': True, 'risk': True, 'actual': True, 'hell': True, 'wrong': True, 'people': True, 'talk': True, 'child': True, 'economy': True, 'trump': True, 'government': True, 'give': True, 'ton': True, 'ppp': True, 'tombrady': True, 'presssec': True, 'parent': True, 'kanyewest': True, 'kid': True, 'safe': True}" 0.6736912589148233 0.3263087410851775 positive
"Not really your dad s policies address BLM the way his policies worked in responding to Covid 135 000 American deaths crashed economy first wave still getting worse no accountability or leadership No thanks trump death" "{'dad': True, 'policy': True, 'address': True, 'blm': True, 'work': True, 'respond': True, 'covid': True, '135': True, '000': True, 'american': True, 'death': True, 'crash': True, 'economy': True, 'wave': True, 'bad': True, 'accountability': True, 'leadership': True, 'trump': True}" 0.6880605499120823 0.31193945008791646 positive
"JFC are they really prepared to offer up dead kids to save TraitorTrumps economy" "{'jfc': True, 'prepare': True, 'offer': True, 'dead': True, 'kid': True, 'save': True, 'traitortrumps': True, 'economy': True}" 0.24997507241550607 0.7500249275844936 negative
"11 Back when the economy was better I bought merchandise in general for jp stuff I liked but specifically from eroge I have these two Tamaki Kousaka from To Heart 2 and Saber from Hollow Ataraxia" "{'11': True, 'back': True, 'economy': True, 'good': True, 'buy': True, 'merchandise': True, 'general': True, 'jp': True, 'stuff': True, 'specifically': True, 'eroge': True, 'tamaki': True, 'kousaka': True, 'heart': True, '2': True, 'saber': True, 'hollow': True, 'ataraxia': True}" 0.5171193463097628 0.48288065369023847 neutral
"And CNN will promote it as much as possible Because they hate Trump so much they will help destroy jobs a business the economy anything to help the Dems" "{'cnn': True, 'promote': True, 'hate': True, 'trump': True, 'destroy': True, 'job': True, 'business': True, 'economy': True, 'dems': True}" 0.3730200239183613 0.6269799760816365 neutral
"No matter what your views on COVID19 shutdowns the reality is becoming very clear the US economy is in for another major shutdown mandated by several state governments Trump has ZERO control It s entirely under the states authority GreatestDepression FinancialCrisis" "{'matter': True, 'view': True, 'covid': True, '19': True, 'shutdowns': True, 'reality': True, 'clear': True, 'economy': True, 'major': True, 'shutdown': True, 'mandate': True, 'state': True, 'government': True, 'trump': True, 'control': True, 'authority': True, 'greatestdepression': True, 'financialcrisis': True}" 0.9798348268684465 0.02016517313155394 positive
"I really don t care about bots utilizing social media especially since that might be their only source of income considering how badly Turkey s economy has fallen I get that you need to be doing something to get by and driving up social media likes might be your only option" "{'care': True, 'bot': True, 'utilize': True, 'social': True, 'medium': True, 'source': True, 'income': True, 'badly': True, 'turkey': True, 'economy': True, 'fall': True, 'drive': True, 'option': True}" 0.0655219461634358 0.9344780538365627 negative
"Me too Didn t believe all this nonsense from the start An absolute scam to ruin the economy and steal the election All these people in their useless muzzles look ridiculous Maybe they should wear a collar too showing their owners name as they did with slaves" "{'didn': True, 'nonsense': True, 'start': True, 'absolute': True, 'scam': True, 'ruin': True, 'economy': True, 'steal': True, 'election': True, 'people': True, 'useless': True, 'muzzle': True, 'ridiculous': True, 'wear': True, 'collar': True, 'show': True, 'owner': True, 'slave': True}" 0.0028007322465773555 0.9971992677534197 negative
"What s Next For The U S Economy Gary Shilling via YouTube" "{'economy': True, 'gary': True, 'shilling': True, 'youtube': True}" 0.30170952246397287 0.6982904775360271 negative
"Piracy in the open seas In this economy" "{'piracy': True, 'open': True, 'sea': True, 'economy': True}" 0.30170952246397287 0.6982904775360271 negative
"shutting down the country or destroy the economy THAT S ON YOU That s your job By trying to discredit him you tell people to not social distance or wear masks That is why you are seeing record infections THAT S YOUR FAULT That is why you re not fit mentally incompetent" "{'shut': True, 'country': True, 'destroy': True, 'economy': True, 'job': True, 'discredit': True, 'people': True, 'social': True, 'distance': True, 'wear': True, 'mask': True, 'record': True, 'infection': True, 'fault': True, 'fit': True, 'mentally': True, 'incompetent': True}" 0.04075001172443973 0.9592499882755612 negative
"Potential hoarding is not the main reason our Stephen Miller is against negative interest rates he believes they can lead to people saving more and spending less which is the opposite to what they are intended to do for an economy investing markets" "{'potential': True, 'hoarding': True, 'main': True, 'reason': True, 'stephen': True, 'miller': True, 'negative': True, 'interest': True, 'rate': True, 'lead': True, 'people': True, 'save': True, 'spending': True, 'opposite': True, 'intend': True, 'economy': True, 'invest': True, 'market': True}" 0.997019907670216 0.0029800923297855506 positive
"Hey Indians ready when you are to change the team name but don t you think for a second about cutting our amorphous fuchsia king Nuh uh Not in this economy" "{'hey': True, 'indian': True, 'ready': True, 'change': True, 'team': True, 'cut': True, 'amorphous': True, 'fuchsia': True, 'king': True, 'nuh': True, 'uh': True, 'economy': True}" 0.749975070758371 0.2500249292416294 positive
"MEANWHILE MILLIONS OF AMERICANS NEED FOOD ASISTANCE MORE PROOF TRUMP S MAGA ECONOMY LEFT 100S OF MILLIONS BEHIND IT DIDN T HELP THEM WHERE NEEDED THE MOST THEIR POCKET BOOK" "{'million': True, 'american': True, 'food': True, 'asistance': True, 'proof': True, 'trump': True, 'maga': True, 'economy': True, 'leave': True, '100s': True, 'didn': True, 'pocket': True, 'book': True}" 0.749975070758371 0.2500249292416294 positive
"It s all about getting you indentured servants back to work because the Economy It s corrupt and unconscionable" "{'indentured': True, 'servant': True, 'back': True, 'work': True, 'economy': True, 'corrupt': True, 'unconscionable': True}" 0.6982344538873549 0.3017655461126443 positive
"the economy 5 5" "{'economy': True, '5': True}" 0.30170952246397287 0.6982904775360271 negative
"Hey Gov see the replies to this tweet You re killing the economy" "{'hey': True, 'gov': True, 'reply': True, 'tweet': True, 'kill': True, 'economy': True}" 0.08332317787578496 0.9166768221242152 negative
"Check out VINTAGE Scientific American Magazine May 1981 The Sunflower Crop Fuel Economy via eBay" "{'check': True, 'vintage': True, 'scientific': True, 'american': True, 'magazine': True, '1981': True, 'sunflower': True, 'crop': True, 'fuel': True, 'economy': True, 'ebay': True}" 0.30170952246397287 0.6982904775360271 negative
"Remember her tweet that said we must keep the economy shutdown to prevent Trump from winning This is the plan of the DNC They destroy everything they touch KAG2020" "{'remember': True, 'tweet': True, 'economy': True, 'shutdown': True, 'prevent': True, 'trump': True, 'win': True, 'plan': True, 'dnc': True, 'destroy': True, 'touch': True, 'kag': True, '2020': True}" 0.9740136071284793 0.02598639287151838 positive
