"Side hustle might not be a bad idea in this economy" "{'side': True, 'hustle': True, 'bad': True, 'idea': True, 'economy': True}" 0.07141975371686331 0.9285802462831362 negative
"Historically sure Theoretically Obviously not" "{'historically': True, 'theoretically': True}" 0.30170952246397287 0.6982904775360271 negative
"in this economy" "{'economy': True}" 0.30170952246397287 0.6982904775360271 negative
"I will be participating on an event tonight under the Council of Young Leaders of the Philippines Inc tonight with the t economy although I haven t finished giving my opinion regarding the economic package from the COVID19PH loans galore CYLP" "{'participate': True, 'event': True, 'tonight': True, 'council': True, 'young': True, 'leader': True, 'philippine': True, 'economy': True, 'haven': True, 'finish': True, 'give': True, 'opinion': True, 'regard': True, 'economic': True, 'package': True, 'covid': True, '19ph': True, 'loan': True, 'galore': True, 'cylp': True}" 0.9541798899621339 0.04582011003786514 positive
"That s very vague Give us your plan for the economy and for everthying else and then we will see" "{'vague': True, 'give': True, 'plan': True, 'economy': True, 'everthying': True}" 0.24997507241550607 0.7500249275844936 negative
"Economy Covid19 Drags on TheIPA s scomo Recovery Road by roweafr auspol BLM Insiders" "{'economy': True, 'covid': True, '19': True, 'drag': True, 'theipa': True, 'scomo': True, 'recovery': True, 'road': True, 'roweafr': True, 'auspol': True, 'blm': True, 'insider': True}" 0.4354355567364681 0.5645644432635312 neutral
"I Everette the economy was roaring in 93 from Reagan policies The economy tanked in 2000" "{'everette': True, 'economy': True, 'roar': True, '93': True, 'reagan': True, 'policy': True, 'tank': True, '2000': True}" 0.1666482019938326 0.8333517980061673 negative
"It s not either or when folk feel safe they will get out support the economy s STories a single issue party destroy Scotlands economy in any way they can working for WM against Scotland Borne out by how Tory councils are behaving by destroying local jobs services" "{'folk': True, 'feel': True, 'safe': True, 'support': True, 'economy': True, 'stories': True, 'single': True, 'issue': True, 'party': True, 'destroy': True, 'scotland': True, 'work': True, 'wm': True, 'borne': True, 'tory': True, 'council': True, 'behave': True, 'local': True, 'job': True, 'service': True}" 0.9972398709980529 0.0027601290019448345 positive
"Definitely not If the economy is to stay open people must be required to wear masks and social distance otherwise it will come to a screeching halt again Every other country sure but Americans are actually too stupid to not mandate masks" "{'economy': True, 'stay': True, 'open': True, 'people': True, 'require': True, 'wear': True, 'mask': True, 'social': True, 'distance': True, 'screeching': True, 'halt': True, 'country': True, 'american': True, 'stupid': True, 'mandate': True}" 0.24997507241550607 0.7500249275844936 negative
"Economy crashed before Obama took office Now unemployment and yearly deficits are spiking back up under Trump" "{'economy': True, 'crash': True, 'obama': True, 'office': True, 'unemployment': True, 'yearly': True, 'deficit': True, 'spike': True, 'back': True, 'trump': True}" 0.49790168764420745 0.5020983123557936 neutral
"Strengthen the economy as he did once already and protect the nation from foreign adversaries rebuild the military Unfortunately it s been fraudulent attempted coup after illegal investigation and unprecedented unified impeachment 2" "{'strengthen': True, 'economy': True, 'protect': True, 'nation': True, 'foreign': True, 'adversary': True, 'rebuild': True, 'military': True, 'fraudulent': True, 'attempt': True, 'coup': True, 'illegal': True, 'investigation': True, 'unprecedented': True, 'unified': True, 'impeachment': True, '2': True}" 0.3892073301377042 0.6107926698622955 neutral
"Honestly the bad and good may just cancel eachother out But also credit fucked all this up for consumers and businesses Credit is the American economy hence why they physically stop anyone threatening the petrol dollar" "{'honestly': True, 'bad': True, 'good': True, 'cancel': True, 'eachother': True, 'credit': True, 'fuck': True, 'consumer': True, 'business': True, 'american': True, 'economy': True, 'physically': True, 'stop': True, 'threaten': True, 'petrol': True, 'dollar': True}" 0.059747563866402134 0.9402524361335968 negative
"Economy Covid19 TheIPA s scomo Bucket FULL by moir_alan auspol BLM Insiders" "{'economy': True, 'covid': True, '19': True, 'theipa': True, 'scomo': True, 'bucket': True, 'full': True, 'moir_alan': True, 'auspol': True, 'blm': True, 'insider': True}" 0.30170952246397287 0.6982904775360271 negative
"Sorry to break it to you but the economy at your house doesn t mean shit The economy at my house is fantastic but he has still been a shitshow He was handed a thriving economy and managed to fuck that up too" "{'break': True, 'economy': True, 'house': True, 'doesn': True, 'shit': True, 'fantastic': True, 'shitshow': True, 'hand': True, 'thrive': True, 'manage': True, 'fuck': True}" 0.7913605292715488 0.20863947072845257 positive
"The debate about how much lockdowns affected the economy vs leaving everything be will be discussed for decades because there is no way to know one way or the other A path was chosen what happened happened" "{'debate': True, 'lockdown': True, 'affect': True, 'economy': True, 'leave': True, 'discuss': True, 'decade': True, 'path': True, 'choose': True, 'happen': True}" 0.30170952246397287 0.6982904775360271 negative
"Oh for sure It s always a cost benefit analysis Like science tells us that the virus will spread faster if economy is opened up but we can t survive if economy is closed indefinitely But I think benefit weighs so much in favor of cost re masking" "{'cost': True, 'benefit': True, 'analysis': True, 'science': True, 'virus': True, 'spread': True, 'fast': True, 'economy': True, 'open': True, 'survive': True, 'closed': True, 'indefinitely': True, 'weighs': True, 'favor': True, 'mask': True}" 0.9980668723338744 0.0019331276661244945 positive
"It d save us money and help revive our economy We can even export him to neighboring countries" "{'save': True, 'money': True, 'revive': True, 'economy': True, 'export': True, 'neighbor': True, 'country': True}" 0.749975070758371 0.2500249292416294 positive
"Aboriginals Economy TheIPA s scomo Statuesque by broelman auspol BLM Insiders" "{'aboriginal': True, 'economy': True, 'theipa': True, 'scomo': True, 'statuesque': True, 'broelman': True, 'auspol': True, 'blm': True, 'insider': True}" 0.749975070758371 0.2500249292416294 positive
"I think the nation is mesmerized by MSM and duped by the Left By this time next year or at least Christmas of 2021 we will see a great demise of the country and the economy falling apart and plenty of unemployment so that people rely on the government that much more" "{'nation': True, 'mesmerize': True, 'msm': True, 'dupe': True, 'leave': True, 'time': True, 'year': True, 'christmas': True, '2021': True, 'great': True, 'demise': True, 'country': True, 'economy': True, 'fall': True, 'plenty': True, 'unemployment': True, 'people': True, 'rely': True, 'government': True}" 0.948045392440739 0.0519546075592589 positive
"Looking at the state of the economy I m glad I decided to stop playing around and do something with my life EMOOOLAH No time for goofy people and goofing around at a time like this cupcake Terrifying Unemployment Lines Expose The New Depression" "{'state': True, 'economy': True, 'glad': True, 'decide': True, 'stop': True, 'playing': True, 'life': True, 'emooolah': True, 'time': True, 'goofy': True, 'people': True, 'goof': True, 'cupcake': True, 'terrify': True, 'unemployment': True, 'line': True, 'expose': True, 'depression': True}" 0.5792645452452865 0.4207354547547129 neutral
"And yes blm IS a communist front group seed funded by georgesoros just like occupy code pink not in our name antifa black bloc and all the rest of his DaddyWarbucks tentacles that destroy the economy while he shorts the markets and the currencies" "{'blm': True, 'communist': True, 'front': True, 'group': True, 'seed': True, 'fund': True, 'georgesoros': True, 'occupy': True, 'code': True, 'pink': True, 'antifa': True, 'black': True, 'bloc': True, 'rest': True, 'daddywarbucks': True, 'tentacle': True, 'destroy': True, 'economy': True, 'short': True, 'market': True, 'currency': True}" 0.20451347942901202 0.7954865205709875 negative
"The National Socialists wanted to control their own economy and politics They wanted to get rid of the Weimar Republic installed to destroy German culture Many J3ws fought on the National Socialist side" "{'national': True, 'socialist': True, 'control': True, 'economy': True, 'politics': True, 'rid': True, 'weimar': True, 'republic': True, 'instal': True, 'destroy': True, 'german': True, 'culture': True, 'j3ws': True, 'fight': True, 'side': True}" 0.20451347942901202 0.7954865205709875 negative
"While craft producers may compete in the same markets as capitalist producers they are not motivated by or capable of endless accumulation Historically this was the normal form of urban production and is still widespread in many sectors of the economy" "{'craft': True, 'producer': True, 'compete': True, 'market': True, 'capitalist': True, 'motivate': True, 'capable': True, 'endless': True, 'accumulation': True, 'historically': True, 'normal': True, 'form': True, 'urban': True, 'production': True, 'widespread': True, 'sector': True, 'economy': True}" 0.9541798899621339 0.04582011003786514 positive
"Well let s see he s helped minorities more than any other president with the prison reform opportunity zones etc He is making China pay money they should ve been paying this whole time Had record low unemployment across the board economy was bustling before the pandemic" "{'minority': True, 'president': True, 'prison': True, 'reform': True, 'opportunity': True, 'zone': True, 'make': True, 'china': True, 'pay': True, 'money': True, 've': True, 'time': True, 'record': True, 'low': True, 'unemployment': True, 'board': True, 'economy': True, 'bustle': True, 'pandemic': True}" 0.8426318355764509 0.1573681644235481 positive
"It just occurred to me there are no resources on collective care because the capitalist economy can t profit off it" "{'occur': True, 'resource': True, 'collective': True, 'care': True, 'capitalist': True, 'economy': True, 'profit': True}" 0.30170952246397287 0.6982904775360271 negative
"Economy Budget Covid19 Breakages by roweafr auspol BLM Insiders" "{'economy': True, 'budget': True, 'covid': True, '19': True, 'breakage': True, 'roweafr': True, 'auspol': True, 'blm': True, 'insider': True}" 0.30170952246397287 0.6982904775360271 negative
"brightwin in this economy we have progressed past the need for brightwin it s gulfwin now" "{'brightwin': True, 'economy': True, 'progress': True, 'past': True, 'gulfwin': True}" 0.749975070758371 0.2500249292416294 positive
"Yup There s literally no reason to revoke their visas it directly will damage the American workforce and economy and just encourage companies to hire overseas" "{'yup': True, 'literally': True, 'reason': True, 'revoke': True, 'visa': True, 'directly': True, 'damage': True, 'american': True, 'workforce': True, 'economy': True, 'encourage': True, 'company': True, 'hire': True, 'overseas': True}" 0.9059932408342124 0.09400675916578916 positive
"Pence speaking at TulsaRally2020 Extolling freedom to open up the economy as 1000s watch unmasked" "{'penny': True, 'speaking': True, 'tulsarally': True, '2020': True, 'extol': True, 'freedom': True, 'open': True, 'economy': True, '1000s': True, 'watch': True, 'unmask': True}" 0.9719946507026987 0.028005349297299552 positive
"the next Intel Google or Tesla will be founded Not here realDonaldTrump s policies are doing lasting damage to the American economy international standing It will take decades to recover if recovery is even possible GOPfailsAmerica VoteOutTheGOP 2" "{'intel': True, 'google': True, 'tesla': True, 'found': True, 'realdonaldtrump': True, 'policy': True, 'lasting': True, 'damage': True, 'american': True, 'economy': True, 'international': True, 'stand': True, 'decade': True, 'recover': True, 'recovery': True, 'gopfailsamerica': True, 'voteoutthegop': True, '2': True}" 0.712496850272213 0.287503149727789 positive
"We also need a premier who cares about the people in Alberta Not just his bank account After all without people working and spending money here how can the Alberta economy improve People safety and health should be the Alberta government 1 priority" "{'premier': True, 'care': True, 'people': True, 'alberta': True, 'bank': True, 'account': True, 'work': True, 'spend': True, 'money': True, 'economy': True, 'improve': True, 'safety': True, 'health': True, 'government': True, '1': True, 'priority': True}" 0.9987311500213178 0.0012688499786828512 positive
"A Taxation Economy without regard to the general circumstance which in the event of Corona virus is an economy of war epidemics and famines Force Majeure such is a Lame Economy that shall ignite conflicts that prepares for a major fall It s a failing Non Sustainable Economy" "{'taxation': True, 'economy': True, 'regard': True, 'general': True, 'circumstance': True, 'event': True, 'corona': True, 'virus': True, 'war': True, 'epidemic': True, 'famine': True, 'force': True, 'majeure': True, 'lame': True, 'ignite': True, 'conflict': True, 'prepare': True, 'major': True, 'fall': True, 'failing': True, 'sustainable': True}" 0.19309238793642505 0.8069076120635716 negative
"The majority affected will be rich people Under Clinton and Obama the economy was great and budgets were balanced You can say whatever you want about Clinton and Obama but they were both great for the economy facts back that up Democrats believe in taxing the rich" "{'majority': True, 'affect': True, 'rich': True, 'people': True, 'clinton': True, 'obama': True, 'economy': True, 'great': True, 'budget': True, 'balance': True, 'facts': True, 'back': True, 'democrat': True, 'tax': True}" 0.9970199076702111 0.0029800923297855215 positive
"i just dont think its going to do much hajj makes up 10 of their economy i think it would be more effective to work pressuring the US UK and Saudi especially considering were all here too lol" "{'dont': True, 'hajj': True, 'make': True, '10': True, 'economy': True, 'effective': True, 'work': True, 'pressure': True, 'uk': True, 'saudi': True, 'lol': True}" 0.9970443504176182 0.002955649582380524 positive
"You re getting off topic which I could do easily with your guy but I have zero interest in talking about him Clinton had bills that Newt was firmly against claiming a recession would ensue He was wrong after Clinton signed 1993 budget and the economy roared" "{'topic': True, 'easily': True, 'guy': True, 'interest': True, 'talk': True, 'clinton': True, 'bill': True, 'newt': True, 'firmly': True, 'claim': True, 'recession': True, 'ensue': True, 'wrong': True, 'sign': True, '1993': True, 'budget': True, 'economy': True, 'roar': True}" 0.7141859673104988 0.2858140326895027 positive
"I think the govt should refloat the economy with _generous_ unemployment benefits aka jobseeker That would help the most affected would give some sense we are in this together and would be excellent economic stimulus insiders" "{'govt': True, 'refloat': True, 'economy': True, '_generous_': True, 'unemployment': True, 'benefit': True, 'aka': True, 'jobseeker': True, 'affected': True, 'give': True, 'sense': True, 'excellent': True, 'economic': True, 'stimulus': True, 'insider': True}" 0.983006426031704 0.016993573968296448 positive
"ArvindKejriwal narendramodi Please do something Work together central and State ArvindKejriwal You day Lockdown is not the solution then why whole world done this Don t think about economy You will loose more money in controlling Corona Please go for Complete Lockdown" "{'arvindkejriwal': True, 'narendramodi': True, 'work': True, 'central': True, 'state': True, 'day': True, 'lockdown': True, 'solution': True, 'world': True, 'economy': True, 'loose': True, 'money': True, 'control': True, 'corona': True, 'complete': True}" 0.8437240883359851 0.15627591166401467 positive
"Someone s having a crowded pool party outside at my complex as I type this No masks whatsoever Reopening the economy sent the wrong message that the pandemic is somehow over We re not even out of the first phase" "{'crowded': True, 'pool': True, 'party': True, 'complex': True, 'type': True, 'mask': True, 'reopen': True, 'economy': True, 'send': True, 'wrong': True, 'message': True, 'pandemic': True, 'phase': True}" 0.13364061012530412 0.8663593898746949 negative
"And exactly what has Trump done for the economy But what factors do you consider that indicate a booming economy and for who" "{'trump': True, 'economy': True, 'factor': True, 'booming': True}" 0.749975070758371 0.2500249292416294 positive
"the end of the world was bad for the economy so it was banned" "{'end': True, 'world': True, 'bad': True, 'economy': True, 'ban': True}" 0.07141975371686331 0.9285802462831362 negative
"40 million are still unemployed The economy is shit now nobody s getting stimulus help anymore and it s all thanks to donnie s irresponsibility and recklessness" "{'40': True, 'million': True, 'unemployed': True, 'economy': True, 'shit': True, 'stimulus': True, 'anymore': True, 'donnie': True, 'irresponsibility': True, 'recklessness': True}" 0.16549540889595205 0.8345045911040461 negative
"True but my dad always taught me to work for my country and not run away like everyone else does cause aesei hi mulk acha nahi ho jaye ga everyone has to work for it I know people who can actually help to make our country better but are leaving just cause economy kharab hei" "{'true': True, 'dad': True, 'teach': True, 'work': True, 'country': True, 'run': True, 'aesei': True, 'mulk': True, 'acha': True, 'nahi': True, 'ho': True, 'jaye': True, 'ga': True, 'people': True, 'make': True, 'good': True, 'leave': True, 'economy': True, 'kharab': True, 'hei': True}" 0.9798348268684465 0.02016517313155389 positive
"Why are Canadians still on lockdown They ve got hydroxychloroquine and should ve returned to work Their economy can t afford a shutdown this long or even until the end of the year" "{'canadian': True, 'lockdown': True, 've': True, 'hydroxychloroquine': True, 'return': True, 'work': True, 'economy': True, 'afford': True, 'shutdown': True, 'long': True, 'end': True, 'year': True}" 0.9740136071284793 0.02598639287151838 positive
"HERO represents the ultimate use case for Hydrogène Beyond transportation and into power generation directly into the electric grid It will launch the hydrogène economy through mass adoption and continue the planetary ecological recovery process initiated by the COVID Lockdown" "{'hero': True, 'represent': True, 'ultimate': True, 'case': True, 'hydrogène': True, 'transportation': True, 'power': True, 'generation': True, 'directly': True, 'electric': True, 'grid': True, 'launch': True, 'economy': True, 'mass': True, 'adoption': True, 'continue': True, 'planetary': True, 'ecological': True, 'recovery': True, 'process': True, 'initiate': True, 'covid': True, 'lockdown': True}" 0.9798348268684465 0.02016517313155394 positive
"We are a service economy" "{'service': True, 'economy': True}" 0.30170952246397287 0.6982904775360271 negative
"Just so you know this would have happened under Hillary Except there wouldn t have been an economy and she would have had it done in the first year" "{'happen': True, 'hillary': True, 'wouldn': True, 'economy': True, 'year': True}" 0.30170952246397287 0.6982904775360271 negative
"The worst economy That would be proper grammar" "{'bad': True, 'economy': True, 'proper': True, 'grammar': True}" 0.348092936724889 0.6519070632751116 negative
"Gotta hold important debates and discussions about our economy and governance here" "{'gotta': True, 'hold': True, 'important': True, 'debate': True, 'discussion': True, 'economy': True, 'governance': True}" 0.749975070758371 0.2500249292416294 positive
"Fauci doesn t run the NFL just like he doesn t run the country He gives his advice and people don t have to take it Trump didn t have to shut down the economy NFL doesn t have to listen to Fauci They should obviously take scientific advice from you" "{'fauci': True, 'doesn': True, 'run': True, 'nfl': True, 'country': True, 'give': True, 'advice': True, 'people': True, 'trump': True, 'didn': True, 'shut': True, 'economy': True, 'listen': True, 'scientific': True}" 0.749975070758371 0.2500249292416294 positive
"The positioning of this article is terrible Suspending H1B will seriously damage the US economy Do better NPR" "{'positioning': True, 'article': True, 'terrible': True, 'suspend': True, 'h1b': True, 'damage': True, 'economy': True, 'good': True, 'npr': True}" 0.20317290214697117 0.7968270978530289 negative
"Breastmilk In this economy" "{'breastmilk': True, 'economy': True}" 0.30170952246397287 0.6982904775360271 negative
"Shipyard welder and diesel mechanic I work on engines bigger than most people s houses and make 32 an hour risking my life in that job to keep the economy running" "{'shipyard': True, 'welder': True, 'diesel': True, 'mechanic': True, 'work': True, 'engine': True, 'big': True, 'people': True, 'house': True, 'make': True, '32': True, 'hour': True, 'risk': True, 'life': True, 'job': True, 'economy': True, 'run': True}" 0.7641155218109033 0.2358844781890971 positive
"I agree But we gotta be productive Otherwise we won t afford to pay back The one rejected in South Africa was gonna cost US 9 billion Will our small economy afford" "{'agree': True, 'gotta': True, 'productive': True, 'win': True, 'afford': True, 'pay': True, 'back': True, 'reject': True, 'south': True, 'africa': True, 'gonna': True, 'cost': True, '9': True, 'billion': True, 'small': True, 'economy': True}" 0.988602403555805 0.011397596444197525 positive
"Or before COVID when the economy was so high people don t ask why why so much homelessness in America So many issues that get forgotten or pushed with both Party leaders We are bombing 7 countries right now So depressing that my tax money pays for all that death" "{'covid': True, 'economy': True, 'high': True, 'people': True, 'homelessness': True, 'america': True, 'issue': True, 'forget': True, 'push': True, 'party': True, 'leader': True, 'bomb': True, '7': True, 'country': True, 'depress': True, 'tax': True, 'money': True, 'pay': True, 'death': True}" 0.2277524637447403 0.7722475362552619 negative
"If a growing economy is what we are really concerned About considering China does double digit growth the last 20yrs maybe we should look into it" "{'grow': True, 'economy': True, 'concern': True, 'china': True, 'double': True, 'digit': True, 'growth': True, '20yrs': True}" 0.1666482019938326 0.8333517980061673 negative
"Hahahahaha He s a fool You cannot make me or anyone else wear a mask in public You will just make the economy in NV worse than it already is He s just mad at gaming control for making them optional in Casinos He s trying to normalize mask wearing" "{'hahahahaha': True, 'fool': True, 'make': True, 'wear': True, 'mask': True, 'public': True, 'economy': True, 'nv': True, 'bad': True, 'mad': True, 'game': True, 'control': True, 'optional': True, 'casino': True, 'normalize': True}" 0.019236351213940555 0.9807636487860607 negative
"Absolutely sir one humble request PURUSHARTHAM is the root of our culture and economy Dharma Artha Kama Moksha or Honesty wealth pleasure and salvation are the aim of every indian but it shud be made legal then only one need not live 2 life 1 for religion 1 for country" "{'absolutely': True, 'sir': True, 'humble': True, 'request': True, 'purushartham': True, 'root': True, 'culture': True, 'economy': True, 'dharma': True, 'artha': True, 'kama': True, 'moksha': True, 'honesty': True, 'wealth': True, 'pleasure': True, 'salvation': True, 'aim': True, 'indian': True, 'shud': True, 'make': True, 'legal': True, 'live': True, '2': True, 'life': True, '1': True, 'religion': True, 'country': True}" 0.9852750650143022 0.014724934985697775 positive
"I want to say just one thing that those refugees who are accepted by IRCC will never be a burden on Canadian society and they will definitely pay their contribution in progress and the economy because IRCC has very transparent system for accepting refugees" "{'thing': True, 'refugee': True, 'accept': True, 'ircc': True, 'burden': True, 'canadian': True, 'society': True, 'pay': True, 'contribution': True, 'progress': True, 'economy': True, 'transparent': True, 'system': True}" 0.9911126930014803 0.008887306998519105 positive
"Stand in front of a Covid19 cough at 2m and you may well get it Should we make it 5m or 10m the whole economy would collapse the NHS would have no money 10 million would be unemployed until there is a vaccine that could take years Think on that prospect" "{'stand': True, 'front': True, 'covid': True, '19': True, 'cough': True, '2m': True, 'make': True, '5m': True, '10m': True, 'economy': True, 'collapse': True, 'nh': True, 'money': True, '10': True, 'million': True, 'unemployed': True, 'vaccine': True, 'year': True, 'prospect': True}" 0.20451347942901202 0.7954865205709875 negative
"Hundreds of billions in oil revenues generations of talent capital and energy It all flows south that s the truth about our economy" "{'hundred': True, 'billion': True, 'oil': True, 'revenue': True, 'generation': True, 'talent': True, 'capital': True, 'energy': True, 'flow': True, 'south': True, 'truth': True, 'economy': True}" 0.8333148670238217 0.16668513297617768 positive
"That is true THE ECONOMY RESET" "{'true': True, 'economy': True, 'reset': True}" 0.30170952246397287 0.6982904775360271 negative
"A pathetic attempt by a failed President for relevance 120 000 DEAD COVID19 EU flattened the curve Trump has abandoned a U S covid response ECONOMY crashed 2nd Qtr GDP 45 4 16 unemployment 30 MILLION UNEMPLOYED" "{'pathetic': True, 'attempt': True, 'failed': True, 'president': True, 'relevance': True, '120': True, '000': True, 'dead': True, 'covid': True, '19': True, 'eu': True, 'flatten': True, 'curve': True, 'trump': True, 'abandon': True, 'response': True, 'economy': True, 'crash': True, '2nd': True, 'qtr': True, 'gdp': True, '45': True, '4': True, '16': True, 'unemployment': True, '30': True, 'million': True, 'unemployed': True}" 0.31278790604432516 0.687212093955675 negative
"Trump cares about a lot of things but dear to his heart is the economy Strict social distancing and wearing of masks would be a colossal hindrance to economic restoration so he s setting a tone of restoring normalcy I observe this as an impartial social media journalist" "{'trump': True, 'care': True, 'lot': True, 'thing': True, 'dear': True, 'heart': True, 'economy': True, 'strict': True, 'social': True, 'distancing': True, 'wearing': True, 'mask': True, 'colossal': True, 'hindrance': True, 'economic': True, 'restoration': True, 'set': True, 'tone': True, 'restore': True, 'normalcy': True, 'observe': True, 'impartial': True, 'medium': True, 'journalist': True}" 0.980993853483676 0.019006146516324485 positive
"Uh Obama built the economy and Trump ruined it Look it up he got us into a recession in February after boasting about his great economy" "{'uh': True, 'obama': True, 'build': True, 'economy': True, 'trump': True, 'ruin': True, 'recession': True, 'february': True, 'boast': True, 'great': True}" 0.9253236128392296 0.07467638716076785 positive
"The iPhone Isn t the Cash Cow It Once Was Apple Isn t Worried WallStreet StockMarket Business Economy" "{'iphone': True, 'isn': True, 'cash': True, 'cow': True, 'apple': True, 'worry': True, 'wallstreet': True, 'stockmarket': True, 'business': True, 'economy': True}" 0.12498545915069072 0.8750145408493089 negative
"Leave it to you to complain about record low black unemployment and a strong economy" "{'leave': True, 'complain': True, 'record': True, 'low': True, 'black': True, 'unemployment': True, 'strong': True, 'economy': True}" 0.7484229566035105 0.2515770433964889 positive
"How to give a death sentence legally approved by scientists to help the economy less unemployment more deaths make sense no Selfish dangerous A s Scientists are totally comfortable to drop the two metre rule via MetroUK" "{'give': True, 'death': True, 'sentence': True, 'legally': True, 'approve': True, 'scientist': True, 'economy': True, 'unemployment': True, 'make': True, 'sense': True, 'selfish': True, 'dangerous': True, 'totally': True, 'comfortable': True, 'drop': True, 'metre': True, 'rule': True, 'metrouk': True}" 0.8515208180475745 0.14847918195242552 positive
"With the partial closure of the economy the flow of funds through the economy has stopped including coins" "{'partial': True, 'closure': True, 'economy': True, 'flow': True, 'fund': True, 'stop': True, 'include': True, 'coin': True}" 0.30170952246397287 0.6982904775360271 negative
"Covid Economy Nepal China What else" "{'covid': True, 'economy': True, 'nepal': True, 'china': True}" 0.30170952246397287 0.6982904775360271 negative
"The biggest threat to our economy is Democrats obaMAGAte" "{'big': True, 'threat': True, 'economy': True, 'democrats': True, 'obamagate': True}" 0.1666482019938326 0.8333517980061673 negative
"President Trump made the US have the best economy in the world record low unemployment etc He will do it again" "{'president': True, 'trump': True, 'make': True, 'economy': True, 'world': True, 'record': True, 'low': True, 'unemployment': True}" 0.749975070758371 0.2500249292416294 positive
"I understand both viewpoints No the economy can t continue to decline with everything closed down so we have to open up responsibly It is up to each of us to be responsible in being safe" "{'understand': True, 'viewpoint': True, 'economy': True, 'continue': True, 'decline': True, 'close': True, 'open': True, 'responsibly': True, 'responsible': True, 'safe': True}" 0.8731671031907076 0.12683289680929358 positive
"You put America s economy in a downward dive" "{'put': True, 'america': True, 'economy': True, 'downward': True, 'dive': True}" 0.30170952246397287 0.6982904775360271 negative
